Date,MoisturizerSales,GoogleTrendVolumeEczema
2013-05-26,0.814356724723187,0.81
2013-06-02,0.80444525401628,0.83
2013-06-09,0.819463975891911,0.78
2013-06-16,0.807443650595231,0.81
2013-06-23,0.816708256467101,0.81
2013-06-30,0.821757418454669,0.79
2013-07-07,0.897281893862794,0.83
2013-07-14,0.787121666389673,0.84
2013-07-21,0.746666223674015,0.8
2013-07-28,0.725782420344074,0.8
2013-08-04,0.806693019980413,0.79
2013-08-11,0.718350306671506,0.81
2013-08-18,0.744203741566337,0.79
2013-08-25,0.718674624050039,0.75
2013-09-01,0.839721729028545,0.79
2013-09-08,0.753952886063714,0.75
2013-09-15,0.723898150435401,0.75
2013-09-22,0.724154512941785,0.75
2013-09-29,0.688286017549055,0.74
2013-10-06,0.738552857042387,0.79
2013-10-13,0.673881233881307,0.78
2013-10-20,0.677212262721979,0.8
2013-10-27,0.708599205375205,0.8
2013-11-03,0.690581542088367,0.8
2013-11-10,0.807466878980491,0.85
2013-11-17,0.748845460187154,0.84
2013-11-24,0.737478120121721,0.82
2013-12-01,0.754234852412611,0.81
2013-12-08,0.788806399241247,0.83
2013-12-15,0.820920024014626,0.78
2013-12-22,0.910561852905265,0.75
2013-12-29,0.794920566460466,0.93
2014-01-05,0.80601576872034,0.96
2014-01-12,0.902455650291197,0.86
2014-01-19,0.818426866342222,0.94
2014-01-26,0.835059414880226,0.97
2014-02-02,0.841843842270691,0.91
2014-02-09,0.812235348669827,0.88
2014-02-16,0.929862602561195,0.87
2014-02-23,0.838705291578916,0.91
2014-03-02,0.876490105200299,0.94
2014-03-09,0.884338607636624,0.89
2014-03-16,0.903640321992929,0.93
2014-03-23,0.847240476723041,0.92
2014-03-30,0.835503428190771,0.89
2014-04-06,0.894911864508687,0.9
2014-04-13,0.874884231124743,0.94
2014-04-20,0.937561480723704,0.93
2014-04-27,0.818599942812354,0.9
2014-05-04,0.875612387408976,0.91
2014-05-11,0.928748320397385,0.95
2014-05-18,0.893907399634034,0.89
2014-05-25,0.876508606297531,0.84
2014-06-01,0.837988292685033,0.86
2014-06-08,0.924391501793822,0.83
2014-06-15,0.83210075312555,0.87
2014-06-22,0.898876726189642,0.87
2014-06-29,0.854767475039554,0.84
2014-07-06,0.894003675108913,0.86
2014-07-13,0.828983389263682,0.84
2014-07-20,0.779649889555069,0.84
