State	Democrat	Republican	EC_Votes
AL	941173	692611	9
AK	167398	79004	3
AZ	781652	685341	8
AR	472940	422768	6
CA	4567429	5861203	54
CO	883748	738227	8
CT	561094	816015	8
DE	137288	180068	3
DC	18073	171923	3
FL	2912790	2912253	25
GA	1419720	1116230	13
HI	137845	205286	4
ID	336937	138637	4
IL	2019421	2589026	22
IN	1245836	901980	12
IA	634373	638517	7
KS	622332	399276	6
KY	872492	638898	8
LA	927871	792344	9
ME	286616	319951	4
MD	813797	1145782	10
MA	878502	1616487	12
MI	1953139	2170418	18
MN	1109659	1168266	10
MS	572844	404614	7
MO	1189924	1111138	11
MT	240178	137126	3
NE	433862	231780	5
NV	301575	279978	4
NH	273559	266348	4
NJ	1284173	1788850	15
NM	286417	286783	5
NY	2403374	4107697	33
NC	1631163	1257692	14
ND	174852	95284	3
OH	2351209	2186190	21
OK	744337	474276	8
OR	713577	720342	7
PA	2281127	2485967	23
RI	130555	249508	4
SC	785937	565561	8
SD	190700	118804	3
TN	1061949	981720	11
TX	3799639	2433746	32
UT	515096	203053	5
VT	119775	149022	3
VA	1437490	1217290	13
WA	1108864	1247652	11
WV	336475	295497	5
WI	1237279	1242987	11
WY	147947	60481	3
