,fc_id,year_month,turn_full_last_month,turn_part_last_month,turn_sum_last_month,boxes_per_hr,bph_actual_minus_fcast,cargo_loss,damages_per_sales,fcast_cargo_loss,fcast_damages_per_sales,fcast_labor_per_sales,fcast_ot_hrs_pct_tot_prod_hrs,fcast_prod_avg_wage,fcast_receiving_cartons,fcast_vol_boxes_wkly,ft_headcount_wkly,labor_per_box,labor_per_sales,leave_behinds,missing_wrong,ot_hrs,ot_hrs_pct_tot_prod_hrs,prod_avg_wage,pt_headcount_wkly,pt_ot_hrs,pt_tot_hrs,receiving_cartons,temp_headcount_wkly,temp_hrs,temp_ot_hrs,tot_damages,tot_headcount_wkly,tot_prod_hrs,tot_sales,vol_boxes_wkly
14,7072,2017-01,6.0,0.0,6.0,21.158324999999998,-4.14745,0.001925,0.0029749999999999998,0.0012,0.0024000000000000002,0.0133,0.0475,16.20245,73593.7218,77399.5177,66.75,0.79785,0.01595,0.0,0.0034000000000000002,85.68749999999999,0.023675,16.57165,14.75,0.0,323.975,60077.75,17.5,436.4725,0.0,9922.44525,99.0,3310.5375,3435607.564775,68669.25
15,7077,2017-01,1.0,0.0,1.0,17.37765,-2.52045,0.0023,0.003275,0.0016,0.001925,0.016475,0.06625,16.740475,115738.59805,163856.936,194.0,1.056225,0.02065,0.001825,0.004025000000000001,573.245,0.061475,18.3413,58.25,2.1625,1442.77,121544.5,7.25,179.0375,0.0,26206.29825,259.5,9125.8125,8116967.238275001,158616.0
16,7133,2017-01,0.0,0.0,0.0,14.064825,-6.139125,0.001175,0.0015,0.0013,0.002375,0.017225,0.0375,16.286975,145125.749525,197854.98325,237.25,1.163,0.0226,0.0,0.0042,654.985,0.051675000000000006,16.282725000000003,79.75,3.5125,2016.8600000000001,122976.5,65.5,1636.5,18.875,13221.519250000001,382.5,12338.5875,8938990.97225,173327.25
17,7144,2017-01,14.0,3.0,17.0,23.098175,-2.0631,0.0,0.0004,0.0,0.00017500000000000003,0.023,0.031075,17.616475,18797.512225,19452.7356,16.25,0.745125,0.022125,0.007425,0.00205,11.9475,0.0183,17.130725,3.75,0.0,77.70250000000001,18209.25,0.5,9.375,0.0,196.099,20.5,627.1299999999999,486794.15322499996,14413.75
18,7163,2017-01,0.0,0.0,0.0,17.9737,-3.223975,0.00105,0.0028499999999999997,0.0009,0.00285,0.01485,0.0275,16.532425,38130.491225000005,42960.953675,55.25,0.9680500000000001,0.018300000000000004,0.0,0.0027749999999999997,72.005,0.029625000000000002,17.398675,19.5,0.0,387.6125,36175.25,0.0,0.0,0.0,6448.95075,74.75,2398.9575,2284837.81415,43128.5
19,7199,2017-01,0.0,0.0,0.0,16.433175000000002,-2.5832,5e-05,0.0030749999999999996,0.0014,0.002225,0.012375,0.03375,16.112824999999997,28204.660200000002,36771.975925,42.75,1.1608,0.017875000000000002,0.0,0.0028,32.93,0.019525,18.988625,9.75,0.0,194.58,21183.75,0.0,0.0,0.0,5587.376250000001,52.5,1705.1475,1824305.22905,28002.0
20,7210,2017-01,0.0,0.0,0.0,14.504875,-6.525499999999999,0.0019,0.0023,0.0017,0.0019250000000000003,0.014375,0.03,16.36055,82115.540675,92465.18735000001,131.75,1.2314749999999999,0.023375,0.00165,0.0058,702.4125,0.1034,17.824900000000003,14.5,1.805,338.5925,70843.25,20.75,524.975,0.0,11604.368250000001,167.0,6670.1050000000005,5096601.760575,96757.0
21,7212,2017-01,0.0,0.0,0.0,18.787000000000003,-7.2623500000000005,0.0020499999999999997,0.0031999999999999997,0.0017,0.00305,0.014525000000000001,0.035,17.956325,84481.2019,103419.212425,85.5,0.91625,0.0188,2.5e-05,0.005875,320.66999999999996,0.0638,17.1321,56.75,37.265,1437.4524999999999,67356.75,11.75,294.5625,8.25,13983.785,154.0,4864.9925,4418779.64815,90573.25
22,7214,2017-01,1.0,3.0,4.0,26.435049999999997,-7.157150000000001,0.001875,0.003575,0.0009,0.0030749999999999996,0.010775000000000002,0.02,15.391874999999999,31363.541674999997,50103.37330000001,24.5,0.5761749999999999,0.012825,0.0,0.001875,108.45,0.09217499999999999,15.175425,4.0,0.0,104.92750000000001,22578.75,0.0,0.0,0.0,4893.039,28.5,1165.18,1386598.59045,30799.0
24,7221,2017-01,0.0,0.0,0.0,18.3868,-3.00435,0.0007999999999999999,0.000625,0.0008,0.001375,0.015575,0.0682,16.83865,139164.428475,148049.11445,147.0,0.8597750000000001,0.01745,0.0,0.0032749999999999997,469.8275,0.0617,15.779725,32.5,9.99,858.335,114901.75,41.75,1038.5749999999998,0.0,4484.259749999999,221.25,7545.6275000000005,6834311.23735,138541.5
