"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375.959458723206,189.77001249838,1740.15520894741,615.857399051346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1747.31634149452,2968.28944077655,2936.06434431456,3297.70153794355,2689.00527143931,140.109031704163,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,845.013640558824,3584.14683982789,3426.6019237915,3397.95739360307,3204.60681483113,2440.67982007182,2779.43085794969,122.079189879302,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595.765805881309,3627.11363511055,3662.91929784609,4407.67708274539,8263.94695936342,572.890603768694,2465.89879399749,3409.70016383818,2833.86927078712,16.0166993606718,0,0,0,0,0,0,0,0,890.622004713475,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2197.84356184713,2572.41121609905,3290.54040539644,1908.44182380446,6538.11401551022,32.2250964619891,1623.44963605551,3264.90856653948,4405.36435393976,3892.05794464324,138.811394459155,0,0,0,0,0,0,0,3655.53807904784,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.9970107359324,16413.8316959603,3997.03878321847,4221.48763652057,204.092277592597,2606.65224714756,1700.76897993831,968.284471502042,3455.12497867699,3088.04117711754,9129.51863558291,149.489194032936,0,0,0,0,0,0,0,4612.62441247128,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1882.86598132764,6313.55061396851,3659.21069018862,1378.51801531842,7.16113254710868,3766.75571977917,3949.68398891248,2564.29803975079,4621.97490984893,4077.02024379763,5023.90469946404,1671.07563329675,1430.82514288668,181.52259275428,101.439095950921,0,0,0,0,438.664569485741,3030.77338917421,0,0
0,0,0,0,15.3583947071629,76.7919735358144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4444.68363621951,2036.85502069272,10618.2442144016,4073.71004138544,1602.88590975475,5030.29369064885,2592.32998205334,698.210423343096,3247.57361011379,4716.18664452459,3046.3016451277,3764.58152976639,5841.96181966909,4200.62706114661,4425.9479233323,4388.57562482407,144.150294246046,347.028486147888,0,0,0,0,5117.75331066698,1701.486814975,0,0
0,0,0,38.3959867679072,3302.05486204002,1539.67906939308,3.83959867679072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7485283786253,7767.9185339233,6741.35647818277,1847.86847238103,7027.49979647936,1637.88341870136,55.9960143145765,4586.32816233036,4572.38313132889,3687.98326176097,5061.44513227088,5169.31032919214,2736.84509403831,5283.4737759391,6034.17535370152,6509.67867906958,5449.0749719934,3795.95774847921,1863.27602562482,197.539292114952,0,0,0,0,186.10012038789,930.500601939451,0,0
0,0,34.5563880911165,744.8821432974,7061.02196661813,6669.38290158548,2418.94716637815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371.210266222883,6001.23263726995,3024.67624329757,4853.23051765474,2259.02968091392,33149.6404742293,5186.63082588765,377.973096623392,5172.63182230901,3134.46136263808,4482.01654461505,2131.81820056314,1087.35650520402,2929.90055710325,4485.7004653325,4368.41445950496,10555.4068785419,3642.4629896679,1340.06384650954,3347.4901663804,710.073671656448,0,0,0,0,0,16589.4964460062,0,0
0,180.461137809164,418.516255770188,4711.18757642221,7099.41795338604,9231.899156986,5258.84882421937,1107.01355702574,81.000991977493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4598.88274265017,2385.36967369149,3732.72545479677,4299.50020064753,3122.36106514832,5358.51144739554,2442.8261244734,405.97110378068,3807.95478209196,661.925852912239,3828.12591759437,3215.95522318124,695.56747721928,1345.71013959975,5803.02009565799,3296.13812674116,4736.82738813238,4272.02189287202,3667.82415359384,3545.02945849535,1713.78683159188,0,0,0,0,638.057555615624,3110.53058362617,0,0
0,1720.14020720224,5609.65366679124,7199.2475189826,5601.97446943766,5731.58661960759,4628.71032293006,2740.53356190518,405.004959887465,438.700385881009,143.926861755745,0,0,46.5645729209762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1931.66823719686,2639.71744869606,9280.25665557209,20457.8102273945,3611.19045599688,3359.42747867959,11998.8123749507,7615.45794678241,1538.00196668111,6748.95664369282,1345.50541734339,1556.10626527539,5564.25543700097,766.54375040492,1612.58092677776,4116.62384476716,3909.33625608756,2310.70477743007,2690.27974105244,2188.94891262514,2413.18270367455,4212.39193185668,0,0,558.300361163671,850.743407487498,132.928657419922,19500.6340435025,0,0
0,6405.21159084727,12809.6633953201,9353.26237666219,3190.70650041309,4713.60304656441,3697.91985771653,1329.76628496384,1302.76595430468,3929.90080472625,2620.31551255312,575.707447022978,440.246871252866,1147.18175105314,506.147322878144,148.946133119181,0,0,0,157.094385945834,0,0,0,0,0,0,0,0,0,0,1332.87679313521,5137.66809354335,4433.90040210666,3624.55414402893,4151.40955400662,4174.92191092113,9524.44054904629,5844.58399408393,2376.76079342283,5896.82374209623,3240.91304873146,2913.31172972611,4998.41532236132,528.063472501167,2222.97687617427,3597.07752504827,3349.90802980044,679.897383480959,2487.29126123451,1046.42435823056,2108.86541582178,4799.67090841464,1836.58152669036,112.116895524702,1954.05126407285,3044.06625491621,704.521884325585,3974.56685685566,0,0
0,963.725598194665,2926.06765515482,10847.1193221276,3911.78769988385,17160.5339241256,6807.46789476004,3246.78976176451,2811.40942988549,1435.83621091576,1803.31891493962,1532.3977633994,1621.29376624854,2628.78179853875,1429.30940747087,553.22849444267,0,85.1120760681031,570.499094618035,120.131001017402,0,0,0,0,0,0,0,0,0,130.694189304698,13938.1508946716,6088.81164290121,3049.7504799356,6550.26470428147,2150.09890942617,3474.11894660076,22920.0100675832,2706.3411513304,2976.34475867101,6195.17494333324,4867.21959665086,485.551954954352,3308.73953654914,877.26673657452,14362.0892948358,2654.51261714297,1004.80280244349,2045.35796197188,549.583718313775,1911.32612370683,720.75147123023,2290.38800857606,5039.92139882472,3027.15617916696,1384.85092107749,1581.85102329707,624.764689873632,29124.6688407048,0,0
0,2116.00620473176,3736.1825727112,4630.27378727731,2153.70803129261,5893.38527455029,6125.61196070287,7023.46101271513,3226.53951377014,2488.79411929276,3585.47211491517,3894.49155339074,4271.24127975136,1714.42291209049,1441.07743261311,4293.9042376358,540.461683032455,251.080624400904,327.681492862197,589.954881604308,50.8246542765932,0,0,0,0,0,0,0,0,1476.07554979423,11270.4518541581,7472.63247083331,935.224520540323,2371.34757086874,9426.03361892433,5067.31571319844,2304.45489805231,4308.0513784051,3836.66118680619,1526.85614750706,1790.10720742207,198.900800824674,1578.58015483103,4449.66963182235,10917.46876728,3092.39618007894,5460.35599756108,5423.05010456782,4873.54703412393,1847.25932626414,955.663061853416,539.22887847595,880.918464836947,3758.58544997097,5096.48788954203,1116.60072232734,358.907375033788,19646.8555666644,0,0
0,2639.24466560154,5169.77578742846,8652.57982726949,5517.8629884631,4881.6453132541,4535.98950754333,2450.28000731916,3857.67224292811,2252.76117534672,2789.64123226576,1917.61377574566,2137.73721137209,2294.36350210628,1931.1007727012,2144.8243169162,1485.2057273884,408.537965126895,417.049172733705,297.773767354964,429.699349793016,120.131001017402,0,0,0,0,0,0,0,4843.37289776233,12408.2600904578,10678.4840555427,5510.82724802504,3543.36300273433,16022.5370730438,5923.45785539282,3854.68980307678,3909.27564601455,3775.78895123933,3527.56420286114,941.85379214037,2948.41187104812,3609.30290780591,2811.79053499403,7453.08050191823,4085.36765166952,7009.52129311926,6683.6882297644,6796.41942871172,1158.54125375526,512.534379541497,64.0667974426871,437.789782525028,914.356003705364,2398.70733804829,770.986213035545,5224.09623660292,9384.76321384647,0,0
